parasite_index,connected_localities
21703,"Yukon + Northwest Territories;Azov Sea;Ontario;Yugoslavia;Northeast Atlantic;United States;South Korea;Zaire;Ukraine, incl. Moldavia;Western Mediterranean;Philippines;Western Europe;Black Sea"
18,Lake Malawi
20,Uganda + Burundi + Rwanda;Lake Malawi;Nigeria;South America;Zaire;Ghana;Chad;Thailand;Philippines;Zambia;Sudan
39,Wisconsin;United States
19463,Virginia;Utah;Nicaragua;South America;Wyoming;Quebec;Washington;Mexico;Venezuela;Western Mediterranean;United States;Puerto Rico;Western Europe;Wisconsin;New Brunswick + Nova Scotia;Oceanic Islands;Canada;Ontario;Yugoslavia;Philippines;Lake Huron
1479,Yukon + Northwest Territories;Wisconsin;Ontario;Virginia;Atlantic Ocean;Utah;Northeast Atlantic;Pacific Ocean;Lake Huron;United States;Western Europe
383,"Lake Superior;Russia (European);Virginia;Utah;Poland;Finno-Karelian ASSR;Pacific Ocean;Ukraine, incl. Moldavia;United States;Western Europe;West Coast of Norway;Wisconsin;Yakut ASSR;Canada;Lithuania;Lake Baikal;Yukon + Northwest Territories;Ontario;Yugoslavia;Northeast Atlantic;Russia (Asian)"
512,Yukon + Northwest Territories;Wisconsin;New Brunswick + Nova Scotia;Mexico;Yugoslavia;West Virginia;Ontario;Virginia;Atlantic Ocean;Utah;Northeast Atlantic;Canada;United States;Western Europe
1341,Yukon + Northwest Territories;Wisconsin;Ontario;Virginia;Canada;United States;Western Europe
98,Yukon + Northwest Territories;Wisconsin;Ontario;Yugoslavia;West Virginia;Virginia;Atlantic Ocean;Utah;Pacific Ocean;Canada;Southwest Atlantic;Wyoming;Quebec;United States;Western Europe
3121,Wisconsin;Ontario;Virginia;Canada;Quebec;United States;Western Europe
5343,Wisconsin;Ontario;Virginia;United States;Western Europe
3005,Middle East + Asia Minor;Russia (European);Virginia;Utah;Czechoslovakia;Japan;Poland;Mongolia;Quebec;Finno-Karelian ASSR;Georgia (USSR);Western Mediterranean;United States;Western Europe;Wisconsin;Yakut ASSR;Canada;Lake Baikal;Yukon + Northwest Territories;Ontario;Yugoslavia;Northeast Atlantic;Italy;Russia (Asian)
6470,Taiwan;Wisconsin;South Korea;Sea of Japan;Pacific Ocean;Japan
3125,Yukon + Northwest Territories;Wisconsin;Mexico;Virginia;Nicaragua;Cuba
13619,Wisconsin;Ontario;Virginia;Utah;United States;Western Europe
9974,Wisconsin;Mexico;Virginia;Puerto Rico;United States;Western Europe
11306,Zimbabwe;Taiwan;Wisconsin;Sea of Japan;South Korea;Japan;Western Australia;Far East;Western Europe
9848,Wisconsin;Yugoslavia;New South Wales;Southern S. America;South America;Washington;United States;Puerto Rico
13618,Ontario;Wisconsin;United States;Western Europe
16553,Wisconsin;United States
13812,Yukon + Northwest Territories;Wisconsin;Ontario;Yugoslavia;West Virginia;Utah;Pacific Ocean;Russia (Asian);United States;Western Europe
19039,Wisconsin;United States
10486,"Wisconsin;Mexico;Yugoslavia;Turkmenistan;West Virginia;Virginia;South America;Venezuela;Greece;Russia (Asian);Ukraine, incl. Moldavia;United States;Western Europe"
19690,Puerto Rico;Wisconsin;United States;Washington
19536,Wisconsin;Ontario;Canada;Quebec;Lake Huron;United States
20571,Middle East + Asia Minor;Yukon + Northwest Territories;Wisconsin;Ontario;Yugoslavia;Russia (European);Sea of Japan;Czechoslovakia;Japan;Russia (Asian);Western Mediterranean;United States;Western Europe
23360,Virginia;Wisconsin;United States;Western Europe
19454,Wisconsin;Yugoslavia;Ontario;Virginia;Pakistan;Canada;Venezuela;Southern S. America;South America;Wyoming;Quebec;Lake Huron;United States;Western Europe
23369,Canada;Virginia;Wisconsin;United States
19759,Wisconsin;Ontario;Virginia;Canada;Puerto Rico;Quebec;Lake Huron;United States;Western Europe
26097,Southeast Asia;Wisconsin;Pakistan;South Korea;Pacific Ocean;Japan;Oriental
26621,Wisconsin
23466,Virginia;Wisconsin;United States
23670,Wisconsin;Mexico;Yugoslavia;Oceanic Islands;Nicaragua;Venezuela;Vietnam;United States;Puerto Rico
27890,Wisconsin;United States
27896,Wisconsin;United States
25388,Wisconsin;Mexico;Yugoslavia;United States;Washington
27901,Wisconsin;South China Sea
19461,Virginia;Wisconsin;United States
23944,Nicaragua;Vietnam;Japan;Sumatra;Mexico;Pacific Ocean;Venezuela;Western Mediterranean;Oriental;United States;Puerto Rico;Western Europe;Zimbabwe;Southeast Asia;Wisconsin;Oceanic Islands;Taiwan;Yugoslavia;Spain + Andalusia;Pakistan;Southern S. America;Thailand
28180,Wisconsin
19455,Yukon + Northwest Territories;Wisconsin;Ontario;Yugoslavia;Virginia;United States;Western Europe
26689,Wisconsin;United States
20329,Wisconsin;Yugoslavia;Ontario;Virginia;United States;Western Europe
23347,Wisconsin;United States
30462,Virginia;Wisconsin;United States
30480,Wisconsin;United States
42,United States
45,United States
19521,Ontario;Wisconsin;United States
19449,Wisconsin;United States
26624,Wisconsin;United States
27599,United States;South China Sea
48,Zimbabwe
946,"Zimbabwe;Wisconsin;Turkmenistan;Nigeria;South America;Uzbekistan;Ukraine, incl. Moldavia;Far East;Western Europe"
237,"South Australia;Zimbabwe;Balearic Islands;Middle East + Asia Minor;Yugoslavia;Utah;Spain + Andalusia;Tunisia;Vietnam;Japan;Uzbekistan;Thailand;Ukraine, incl. Moldavia;Oriental;United States;Lake Baikal;Western Europe"
1682,Zimbabwe;Pacific Ocean;Far East;South Korea
429,Zimbabwe;Virginia;Venezuela;Wyoming;United States;Washington
2813,"Middle East + Asia Minor;Vietnam;Wyoming;Sudan;Far East;Washington;Transvaal;Switzerland + Lichtenstein;Victoria;Ukraine, incl. Moldavia;Oriental;Kenya;Western Australia;United States;Western Europe;Zimbabwe;Wisconsin;Australia;Saudi Arabia;Sri Lanka;Kazakstan;Yukon + Northwest Territories;Yugoslavia;Ontario;Queensland;Southern S. America;Italy"
2870,Zimbabwe;West Coast of Norway;Yugoslavia;Sea of Okhotsk;Arctic Ocean;United States
2872,Zimbabwe;United States
2874,Utah;Japan;Poland;Wyoming;Far East;Finno-Karelian ASSR;Pacific Ocean;Victoria;United States;Uruguay;Western Europe;Zimbabwe;New Brunswick + Nova Scotia;Yakut ASSR;Canada;Lithuania;Finland;Lake Baikal;Yukon + Northwest Territories;Yugoslavia;Ontario;Northeast Atlantic;Southern S. America;Uzbekistan;Russia (Asian)
2879,Zimbabwe;West Coast of Norway;Pacific Ocean;Sea of Okhotsk;Canada;Arctic Ocean;United States;Western Europe
2880,Middle East + Asia Minor;Zimbabwe;Yukon + Northwest Territories;Wisconsin;Yugoslavia;Ontario;Utah;Northeast Atlantic;South China Sea;Sea of Japan;Pacific Ocean;Pakistan;Russia (Asian);Western Mediterranean;Oriental;United States;Western Europe
2884,"Middle East + Asia Minor;Japan;Wyoming;Mongolia;Far East;Washington;Ukraine, incl. Moldavia;Oriental;United States;Western Europe;Zimbabwe;Wisconsin;Saudi Arabia;Lithuania;Lake Baikal;Yukon + Northwest Territories;Yugoslavia;Spain + Andalusia;Uzbekistan;Thailand;Bulgaria"
3351,"Middle East + Asia Minor;Zimbabwe;Spain + Andalusia;Tunisia;Lithuania;Zaire;Saudi Arabia;Thailand;Ukraine, incl. Moldavia;Oriental;United States;Lake Baikal;Western Europe"
4320,"Middle East + Asia Minor;Zimbabwe;Yukon + Northwest Territories;Yugoslavia;Spain + Andalusia;Tanzania;South America;Tunisia;Uzbekistan;Ukraine, incl. Moldavia;Oriental;Western Europe"
4335,Zimbabwe
4469,Zimbabwe;Taiwan;Venezuela;Japan;Western Europe
2938,Zimbabwe;Chad;Western Europe
3585,"Zimbabwe;Taiwan;Ukraine, incl. Moldavia;United States;Lake Baikal;Western Europe"
2973,"Vietnam;Japan;Saskatchewan;Mexico;Uganda + Burundi + Rwanda;Georgia (USSR);Hungary;Nigeria;Victoria;Ukraine, incl. Moldavia;Oriental;Senegal + The Gambia + Guinea-Bassau;United States;Western Europe;Zimbabwe;Wisconsin;Tunisia;Lithuania;Lake Baikal;South Australia;Kirgizia;Spain + Andalusia;Queensland;Zaire;Uzbekistan;Papua New Guinea;Thailand;Bulgaria"
4492,Middle East + Asia Minor;Zimbabwe;Yukon + Northwest Territories;Yugoslavia;Kazakstan;Uzbekistan;Oriental;Western Europe
4510,Zimbabwe
4722,Zimbabwe;Western Europe
4648,Zimbabwe;South America
4768,Zimbabwe
5416,Zimbabwe;Southeast Asia;Uganda + Burundi + Rwanda;Tanzania;Zaire;Vietnam;Japan;Thailand;Oriental;Far East
5435,Zimbabwe
5475,Zimbabwe
5492,Zimbabwe
5534,Zimbabwe
5536,Zimbabwe;Southwest Atlantic;Pacific Ocean;United States
5612,Zimbabwe
5620,Zimbabwe
3548,"Middle East + Asia Minor;Zimbabwe;South Australia;Wisconsin;Bulgaria;Kirgizia;Yugoslavia;Spain + Andalusia;Lithuania;Uzbekistan;Thailand;Ukraine, incl. Moldavia;Oriental;United States;Far East;Western Europe"
2909,"Middle East + Asia Minor;Utah;South America;Czechoslovakia;Mongolia;Washington;Turkmenistan;Hungary;Ukraine, incl. Moldavia;Oriental;United States;Western Europe;Zimbabwe;Wisconsin;Oceanic Islands;Canada;Lake Baikal;Yukon + Northwest Territories;Kirgizia;Yugoslavia;Spain + Andalusia;Uzbekistan;Bulgaria"
5677,Zimbabwe;Western Europe
4455,South Australia;Zimbabwe;Vietnam;Thailand;Oriental;Western Europe
5692,Zimbabwe;United States
4475,Zimbabwe;Transvaal;South Korea;Venezuela;Sri Lanka;Oriental;Western Europe
5693,Zimbabwe
