# index, name, full_name, locality, group, is_host, _pos
117,Platycephalus fuscus,"Rhopalotrema elusiva Anderson, 1998",Pacific Ocean,Trematoda,1,"array([68.46057758, 32.21078028])"
118,Balaena mysticetus,"Ogmogaster plicatus (Creplin, l829)",Northeast Atlantic,Trematoda,1,"array([25.95096455, 36.17030722])"
119,Bolbosoma balaenae,,,Mammalia,0,"array([27.40169301, 31.78051005])"
120,Balaenoptera acutorostrata,"Lecithodesmus goliath (van Beneden, l858)",Sea of Okhotsk,Trematoda,1,"array([34.01612559, 25.78187002])"
121,Balaenoptera borealis,"Ogmogaster antarcticus Johnston, l931",Southwest Atlantic,Trematoda,1,"array([27.09396986, 28.11039672])"
122,Balaenoptera musculus,"Ogmogaster grandis Skrjabin, 1969",Indian Ocean,Trematoda,1,"array([26.22560282, 30.0997256 ])"
123,Balaenoptera physalus,"Ogmogaster antarcticus Johnston, l931",Tyrrhenian Sea,Trematoda,1,"array([25.00594212, 31.39553499])"
124,Hyperoodon ampullatus,"Oschmarinella sobolevi Skrjabin, 1947",Pacific Ocean,Trematoda,1,"array([31.19959576, 40.01311861])"
125,Megaptera novaeangliae,"Anisakis simplex (Rudolphi, 1809)",Sea of Okhotsk,Nematoda,1,"array([29.10804713, 29.90127866])"
126,Bolbosoma brevicolle,,,Mammalia,0,"array([25.93692449, 32.27281257])"
127,Eubalaena glacialis,"Ogmogaster antarcticus Johnston, l931",Atlantic Ocean,Trematoda,1,"array([24.11251342, 30.75247812])"
128,Physeter macrocephalus,"Zalophotrema kurilense Gubanov in Delamure, 1955",Sea of Okhotsk,Trematoda,1,"array([28.26756976, 36.19185963])"
129,Bolbosoma hamiltoni,,,Mammalia,0,"array([22.31336403, 38.91981888])"
130,Bolbosoma physeteris,,,Mammalia,0,"array([24.8825983 , 36.62368743])"
131,Bolbosoma tuberculata,,,Mammalia,0,"array([17.58497545, 39.84720603])"
132,Balaenoptera edeni,"Lecithodesmus petrowi Skrjabin, 1970",Northern Indian Ocean,Trematoda,1,"array([ 4.17015784, 55.09536284])"
133,Bolbosoma turbinella,,,Mammalia,0,"array([29.6275666 , 33.64902826])"
134,Arctocephalus gazella,"Ogmogaster antarcticus Johnston, l931",Oceanic Islands,Trematoda,1,"array([15.36353981, 36.23216996])"
135,Corynosoma arctocephali,,,Teleostei,0,"array([20.46704329, 36.37341226])"
136,Cryodraco antarcticus,"Neolebouria terranovaensis Zdzitowiecki, Pisano & Vacchi, 1993",Antarctic Ocean,Trematoda,1,"array([25.44745725, 39.70363544])"
137,Dissostichus eleginoides,"Opechona magnatestis Gaevskaya & Kovaleva, 1976",Southwest Indian Ocean,Trematoda,1,"array([30.65608412, 39.33120064])"
138,Gobionotothen gibberifrons,"Macvicaria georgiana (Kovaljova & Gaevskaja, 1974)",Oceanic Islands,Trematoda,1,"array([23.38761077, 39.52049296])"
139,Harpagifer antarcticus,"Macvicaria pennelli (Leiper & Atkinson, 1914)",Southwest Atlantic,Trematoda,1,"array([24.00283434, 38.68675144])"
140,Hydrurga leptonyx,"Ogmogaster antarcticus Johnston, l931",Oceanic Islands,Trematoda,1,"array([13.15917358, 36.27949533])"
